aircraft delay1 delay2 delay3 delay4 delay5
1 0 0 0 0 0 
2 11 6 6 116 21 
4 0 0 0 0 0 
5 23 13 38 18 23 
6 0 0 0 0 0 
9 10 10 10 10 10 
10 0 0 0 0 0 
11 32 27 7 7 7 
12 0 0 0 0 0 
13 31 21 56 21 36 
14 51 26 26 26 51 
15 0 0 0 0 0 
16 0 0 0 0 0 
17 2 2 2 2 2 
18 4 4 4 4 4 
19 8 8 8 8 8 
20 0 0 0 0 0 
22 0 0 0 0 0 
23 4 4 4 4 4 
24 49 44 74 29 49 
25 0 0 0 0 0 
26 4 4 4 4 4 
27 13 8 8 8 8 
28 0 0 0 0 0 
29 3 3 3 3 3 
30 9 9 9 9 9 
31 4 4 4 4 4 
32 4 4 4 4 4 
33 0 0 0 0 0 
34 18 8 23 18 18 
35 66 66 26 66 81 
36 0 0 0 0 0 
37 17 12 12 12 12 
38 3 3 8 8 3 
39 0 0 0 0 0 
40 12 17 12 7 7 
42 6 6 1 1 6 
43 70 60 25 116 55 
45 7 7 2 2 2 
47 0 0 0 0 0 
48 4 4 4 4 4 
49 0 0 0 0 0 
50 26 31 6 21 21 
51 6 11 6 6 6 
52 4 4 4 9 4 
53 52 62 32 112 52 
54 0 0 0 0 0 
56 7 7 7 17 7 
57 63 48 98 23 63 
58 76 76 101 961 141 
59 2 2 2 2 2 
60 76 56 121 36 71 
62 90 75 120 141 130 
63 4 4 4 4 4 
64 40 40 45 20 20 
65 33 38 8 3 3 
66 16 16 6 6 6 
67 16 16 1 31 31 
68 0 0 0 0 0 
69 0 0 0 0 0 
70 76 76 31 21 76 
72 4 4 4 4 4 
73 0 0 0 0 0 
74 12 17 2 2 2 
75 22 27 92 7 7 
77 20 20 5 45 45 
79 0 0 0 0 0 
80 2 2 2 2 2 
81 4 4 4 4 4 
82 95 85 120 35 90 
83 9 14 4 4 4 
84 37 42 12 7 7 
85 116 111 31 61 96 
86 11 16 11 11 11 
87 0 0 0 0 0 
88 8 8 13 13 13 
89 15 25 0 10 15 
90 16 16 36 16 16 
91 109 89 69 29 69 
92 17 17 37 37 37 
93 21 21 6 6 6 
94 30 30 100 200 20 
95 143 118 203 959 163 
97 54 39 14 115 34 
99 34 39 119 199 34 
100 0 0 0 0 0 
101 41 51 141 201 41 
102 4 4 4 4 4 
105 36 36 66 26 16 
107 0 0 0 0 0 
108 14 14 4 4 4 
109 46 61 16 26 46 
110 0 0 0 0 0 
111 22 22 62 57 57 
113 151 136 191 61 121 
114 6 6 6 1 6 
115 170 140 225 65 135 
116 141 121 181 81 121 
117 120 125 200 995 160 
118 12 12 2 7 7 
119 7 7 2 2 2 
120 24 24 44 4 14 
121 79 69 69 135 69 
122 70 70 165 190 65 
123 26 26 6 6 6 
124 127 112 137 207 127 
125 0 0 0 0 0 
126 120 135 45 50 95 
127 18 18 3 3 3 
129 13 18 8 4 8 
130 112 117 167 167 82 
